provincia,departamento,rubro,productos,razón social,establecimiento
BUENOS AIRES,coronel pringles,AGRICULTURA,CEBADA,DON JACINTO SAAYC,PILLAHUINCO
BUENOS AIRES,coronel pringles,AGRICULTURA,PASTURAS,DON JACINTO SAAYC,PILLAHUINCO
BUENOS AIRES,coronel pringles,AGRICULTURA,CAMPO NATURAL,DON JACINTO SAAYC,PILLAHUINCO
BUENOS AIRES,carmen de patagones,AGRICULTURA,CEREALES,EBERLING FELICIANO,LA AVENTURA
BUENOS AIRES,carmen de patagones,AGRICULTURA,CEREALES,EBERLING FELICIANO,LA QUEBRADA
BUENOS AIRES,adolfo alsina,AGRICULTURA,MAIZ,EDCO GRAINS S.A.,LA UNION
BUENOS AIRES,adolfo alsina,AGRICULTURA,SOJA,EDCO GRAINS S.A.,LA UNION
BUENOS AIRES,adolfo alsina,AGRICULTURA,GIRASOL,EDCO GRAINS S.A.,LA UNION
BUENOS AIRES,adolfo alsina,AGRICULTURA,LINO,EDCO GRAINS S.A.,LA UNION
BUENOS AIRES,adolfo alsina,AGRICULTURA,TRIGO,EDCO GRAINS S.A.,LA UNION
BUENOS AIRES,guamini,AGRICULTURA,MAIZ,EDCO GRAINS S.A.,LA ELVIRA
BUENOS AIRES,guamini,AGRICULTURA,LINO,EDCO GRAINS S.A.,LA ELVIRA
BUENOS AIRES,guamini,AGRICULTURA,TRIGO,EDCO GRAINS S.A.,LA ELVIRA
BUENOS AIRES,guamini,AGRICULTURA,GIRASOL,EDCO GRAINS S.A.,LA ELVIRA
BUENOS AIRES,darregueira,AGRICULTURA,AVENA,EL CASERIO ORGANICO S.H.,MARIA ALBINA I  Y LA AMELIA
BUENOS AIRES,darregueira,AGRICULTURA,ARVEJA,EL CASERIO ORGANICO S.H.,MARIA ALBINA I  Y LA AMELIA
BUENOS AIRES,darregueira,AGRICULTURA,ABONO VERDE,EL CASERIO ORGANICO S.H.,MARIA ALBINA I  Y LA AMELIA
BUENOS AIRES,darregueira,AGRICULTURA,TRIGO,EL CASERIO ORGANICO S.H.,MARIA ALBINA I  Y LA AMELIA
BUENOS AIRES,darregueira,AGRICULTURA,SORGO,EL CASERIO ORGANICO S.H.,MARIA ALBINA I  Y LA AMELIA
BUENOS AIRES,general madariaga,FRUTICULTURA,KIWIS,EL KIWAL DE MACEDO S.A.,DON GUILLERMO
BUENOS AIRES,colon,GANADERIA,VACAS,EL REFUGIO DE CARLOS S.A.,LOS TAMARISCOS (ANIMAL)
BUENOS AIRES,colon,GANADERIA,TERNEROS,EL REFUGIO DE CARLOS S.A.,LOS TAMARISCOS (ANIMAL)
BUENOS AIRES,general pueyrredon,FRUTICULTURA,KIWI,"ETCHEBEST, PEDRO GASTON",DOÑA FRANCISCA
BUENOS AIRES,general pueyrredon,FRUTICULTURA,LIMON,"ETCHEBEST, PEDRO GASTON",DOÑA FRANCISCA
BUENOS AIRES,general pueyrredon,FRUTICULTURA,MORAS SILVESTRES,"ETCHEBEST, PEDRO GASTON",DOÑA FRANCISCA
BUENOS AIRES,general pueyrredon,FRUTICULTURA,NOGALES,"ETCHEBEST, PEDRO GASTON",DOÑA FRANCISCA
BUENOS AIRES,general pueyrredon,FRUTICULTURA,MANDARINA,"ETCHEBEST, PEDRO GASTON",DOÑA FRANCISCA
BUENOS AIRES,general pueyrredon,FRUTICULTURA,HIGO,"ETCHEBEST, PEDRO GASTON",DOÑA FRANCISCA
BUENOS AIRES,parada robles,AGRICULTURA,ALFALFA,FERRARI CRISTHIAN DANIEL,FERRARI
BUENOS AIRES,parada robles,AGRICULTURA,CAMPO NATURAL,FERRARI CRISTHIAN DANIEL,FERRARI
BUENOS AIRES,parada robles,AGRICULTURA,SOJA,FERRARI CRISTHIAN DANIEL,FERRARI
BUENOS AIRES,parada robles,AGRICULTURA,TRIGO,FERRARI CRISTHIAN DANIEL,FERRARI
BUENOS AIRES,parada robles,AGRICULTURA,AVENA,FERRARI CRISTHIAN DANIEL,FERRARI
BUENOS AIRES,parada robles,AGRICULTURA,CEBADA,FERRARI CRISTHIAN DANIEL,FERRARI
BUENOS AIRES,parada robles,AGRICULTURA,ARVEJA,FERRARI CRISTHIAN DANIEL,FERRARI
BUENOS AIRES,parada robles,AGRICULTURA,LINO,FERRARI CRISTHIAN DANIEL,FERRARI
BUENOS AIRES,parada robles,AGRICULTURA,ZAPALLO,FERRARI CRISTHIAN DANIEL,FERRARI
BUENOS AIRES,parada robles,AGRICULTURA,SESAMO,FERRARI CRISTHIAN DANIEL,FERRARI
BUENOS AIRES,parada robles,AGRICULTURA,POROTO,FERRARI CRISTHIAN DANIEL,FERRARI
BUENOS AIRES,parada robles,AGRICULTURA,AMARANTO,FERRARI CRISTHIAN DANIEL,FERRARI
BUENOS AIRES,parada robles,AGRICULTURA,MAIZ,FERRARI CRISTHIAN DANIEL,FERRARI
BUENOS AIRES,parada robles,AGRICULTURA,GIRASOL,FERRARI CRISTHIAN DANIEL,FERRARI
BUENOS AIRES,parada robles,AGRICULTURA,SORGO,FERRARI CRISTHIAN DANIEL,FERRARI
BUENOS AIRES,parada robles,AGRICULTURA,MAIZ PISINGALLO,FERRARI CRISTHIAN DANIEL,FERRARI
BUENOS AIRES,carmen de patagones,AGRICULTURA,CEREALES,GARAT ALBERTO ADOLFO,MI SUEÑO
BUENOS AIRES,tandil,GANADERIA,LECHE,GARRIDO STELLA MARIS,LOS OSOS
BUENOS AIRES,tandil,GANADERIA,VACAS DE TAMBO,GARRIDO STELLA MARIS,LOS OSOS
BUENOS AIRES,tandil,GANADERIA,VAQUILLONAS,GARRIDO STELLA MARIS,LOS OSOS
BUENOS AIRES,tandil,GANADERIA,TOROS,GARRIDO STELLA MARIS,LOS OSOS
BUENOS AIRES,tandil,GANADERIA,TERNERAS,GARRIDO STELLA MARIS,LOS OSOS
BUENOS AIRES,tandil,GANADERIA,TERNEROS,GARRIDO STELLA MARIS,LOS OSOS
BUENOS AIRES,carmen de patagones,AGRICULTURA,AVENA,GILARDI SEBASTIAN,DON LUIS
BUENOS AIRES,lujan,HORTICULTURA,RUCULA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,RABANITO,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,PUERROS,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,PIMIENTOS,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,BERENJENAS,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,CEBOLLA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,PEREJIL,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,ACELGA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,REMOLACHA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,ZAPALLO,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,BATATA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,HINOJO,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,ESCAROLA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,REPOLLO,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,ZANAHORIA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,CHAUCHA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,ZAPALLITO,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,ZUCCHINI,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,TOMATE,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,LECHUGA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,CIBOULETTE,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,FRUTILLA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,ESPINACA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,ARVEJA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,HABAS,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,PAK CHOY,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,RADICHETA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,APIO,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,JENJIBRE,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,MILENRAMA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,CEDRON,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,SALVIA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,MENTA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,MELISA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,TOMILLO,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,ROMERO,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,MOSTAZA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,CURCUMA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,AJENJO,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,KALE,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,LIMON,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,MANZANA,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,BROCOLI,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,AJO,GIMAI SA,LA AMISTAD
BUENOS AIRES,lujan,HORTICULTURA,ALCAUCIL.,GIMAI SA,LA AMISTAD
BUENOS AIRES,carmen de patagones,AGRICULTURA,CEREALES,GONZALEZ ELVIO,VILLA BALLESTER
BUENOS AIRES,carmen de patagones,AGRICULTURA,CEREALES,GONZALEZ ELVIO,LAS CIEN
BUENOS AIRES,carmen de patagones,AGRICULTURA,CEREALES,GONZALEZ ELVIO,EX ARTEL
BUENOS AIRES,mar del plata,AGRICULTURA,PASTURAS,GONZALEZ ZUGASTI ESTEBAN ANTONIO,PAITITI
BUENOS AIRES,mar del plata,AGRICULTURA,SORGO,GONZALEZ ZUGASTI ESTEBAN ANTONIO,PAITITI
BUENOS AIRES,mar del plata,AGRICULTURA,CEBADA,GONZALEZ ZUGASTI ESTEBAN ANTONIO,PAITITI
BUENOS AIRES,mar del plata,AGRICULTURA,TRIGO,GONZALEZ ZUGASTI ESTEBAN ANTONIO,PAITITI
BUENOS AIRES,mar del plata,AGRICULTURA,CAMPO NATURAL,GONZALEZ ZUGASTI ESTEBAN ANTONIO,PAITITI
BUENOS AIRES,general paz,GANADERIA,GANADERIA BOVINA,HUENU CRESTA Y MUTICIA CRESTA SH,CANDELA
BUENOS AIRES,carmen de patagones,AGRICULTURA,CEREALES,ILGNER ANGEL E. Y PRESA STELLA M.,LOTE 118 Y  LA ALICIA
BUENOS AIRES,villalonga,AGRICULTURA,AVENA,ILGNER HECTOR,LA GABRIELITA
BUENOS AIRES,villalonga,AGRICULTURA,CEBADA,ILGNER HECTOR,LA GABRIELITA
BUENOS AIRES,villalonga,AGRICULTURA,TRIGO,ILGNER HECTOR,LA GABRIELITA
BUENOS AIRES,juan a. pradere,HORTICULTURA,ZAPALLO RED HOKKAIDO,ILGNER OSCAR FELIPE,SAN AGUSTIN
BUENOS AIRES,juan a. pradere,HORTICULTURA,CEBOLLA,ILGNER OSCAR FELIPE,SAN AGUSTIN
BUENOS AIRES,villalonga,AGRICULTURA,AVENA,ILGNER RAUL ALBERTO,FRUTO DE LA FE
BUENOS AIRES,villalonga,AGRICULTURA,TRIGO,ILGNER RAUL ALBERTO,FRUTO DE LA FE
BUENOS AIRES,villalonga,AGRICULTURA,AVENA,ILGNER SEBASTIAN,LOS MEXICANOS
BUENOS AIRES,villalonga,AGRICULTURA,TRIGO,ILGNER SEBASTIAN,LOS MEXICANOS
BUENOS AIRES,mercedes,FRUTICULTURA/HORTICULTURA,KIWI,INNOCENTI MONICA,KIWI Y CHAMPIGNON
BUENOS AIRES,mercedes,FRUTICULTURA/HORTICULTURA,DESCANSO,INNOCENTI MONICA,KIWI Y CHAMPIGNON
BUENOS AIRES,mercedes,FRUTICULTURA/HORTICULTURA,MONTE,INNOCENTI MONICA,KIWI Y CHAMPIGNON
BUENOS AIRES,san pedro,AGRICULTURA,SOJA,INTERRUPCION S.A.,LAS LOMAS
BUENOS AIRES,villarino,GANADERIA,GANADERIA BOVINA,"JAÑEZ, MARIA PILAR",EL CHARA
BUENOS AIRES,carmen de patagones,AGRICULTURA,TRIGO,KROHN ARNOLDO Y MARTIN LUIS ENRIQUE SH,EL SATELITE
BUENOS AIRES,carmen de patagones,AGRICULTURA,TRIGO,KROHN ARNOLDO Y MARTIN LUIS ENRIQUE SH,MARY YAN
BUENOS AIRES,alvear,AGRICULTURA,MAIZ,KUMAGRO S.A.,CAMPO ALVEAR
BUENOS AIRES,alvear,AGRICULTURA,CENTENO,KUMAGRO S.A.,CAMPO ALVEAR
BUENOS AIRES,alvear,AGRICULTURA,DESCANSO,KUMAGRO S.A.,CAMPO ALVEAR
BUENOS AIRES,alvear,AGRICULTURA,SOJA,KUMAGRO S.A.,CAMPO ALVEAR
BUENOS AIRES,alvear,AGRICULTURA,ABONO VERDE,KUMAGRO S.A.,CAMPO ALVEAR
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,ESPINACA,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,REPOLLO,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,ACELGA,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,LECHUGA,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,RADICHETA,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,NABO,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,RUCULA,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,HINOJO,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,BROCOLI,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,ZANAHORIA,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,PUERRO,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,ESPARRAGOS,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,BERENJENA,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,TOMATE,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,AJI,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,PIMIENTO,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,FRUTILLA,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,BATATA,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,ZAPALLO,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,REMOLACHA,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,ALCAUCIL,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,APIO,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,RABANITO,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,CEBOLLA,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,ZUCCHINI,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,NARANJA,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,LIMON,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,MANDARINA,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,POMELO,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,HIGOS,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,CIRUELA,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,QUINOTO,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,NUEZ,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,ALMENDRAS,HIGH DOOR S.A.,TALLO VERDE
BUENOS AIRES,open door,FRUTICULTURA/HORTICULTURA,PALTA,HIGH DOOR S.A.,TALLO VERDE
